s1_t,s1_v,s1_data,s2_t,s2_v,s2_data,s3_t,s3_v,s3_data,s4_t,s4_v,s4_data,ancient,efficiency,set,slot,grade,level,m_t,i_t,i_v
CRate,15,"{""enchanted"":false,""gvalue"":0}",RES,8,"{""enchanted"":false,""gvalue"":0}",HP flat,621,"{""enchanted"":false,""gvalue"":0}",CDmg,14,"{""enchanted"":false,""gvalue"":0}",FALSE,80.91,Despair,6,6,12,ATK%,,0
RES,12,"{""enchanted"":false,""gvalue"":0}",HP flat,763,"{""enchanted"":false,""gvalue"":0}",CDmg,6,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",FALSE,71.72,Vampire,1,6,12,ATK flat,,0
SPD,6,"{""enchanted"":false,""gvalue"":0}",CRate,17,"{""enchanted"":false,""gvalue"":0}",CDmg,10,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,73.3,Vampire,1,6,9,ATK flat,,0
HP%,27,"{""enchanted"":false,""gvalue"":5}",ATK%,20,"{""enchanted"":false,""gvalue"":5}",SPD,10,"{""enchanted"":false,""gvalue"":4}",ACC,9,"{""enchanted"":true,""gvalue"":0}",FALSE,104.76,Vampire,1,6,12,ATK flat,CRate,6
ACC,6,"{""enchanted"":false,""gvalue"":0}",SPD,16,"{""enchanted"":false,""gvalue"":0}",CDmg,12,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,72.36,Vampire,1,6,9,ATK flat,,0
CRate,8,"{""enchanted"":false,""gvalue"":0}",HP%,22,"{""enchanted"":false,""gvalue"":0}",ATK%,6,"{""enchanted"":false,""gvalue"":0}",ACC,6,"{""enchanted"":false,""gvalue"":0}",FALSE,75.6,Vampire,1,6,12,ATK flat,,0
RES,15,"{""enchanted"":false,""gvalue"":0}",SPD,21,"{""enchanted"":false,""gvalue"":3}",HP%,12,"{""enchanted"":false,""gvalue"":5}",,0,{},FALSE,84.82,Vampire,1,6,9,ATK flat,,0
SPD,6,"{""enchanted"":false,""gvalue"":0}",CRate,20,"{""enchanted"":false,""gvalue"":0}",RES,8,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,73.81,Vampire,1,6,9,ATK flat,,0
SPD,17,"{""enchanted"":false,""gvalue"":0}",CDmg,6,"{""enchanted"":false,""gvalue"":0}",RES,14,"{""enchanted"":false,""gvalue"":0}",CRate,6,"{""enchanted"":false,""gvalue"":0}",FALSE,81.72,Vampire,1,6,12,ATK flat,,0
SPD,17,"{""enchanted"":false,""gvalue"":0}",HP%,5,"{""enchanted"":false,""gvalue"":0}",ATK%,12,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":false,""gvalue"":0}",FALSE,77.73,Vampire,1,6,12,ATK flat,HP flat,193
ACC,7,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",RES,6,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,56.76,Vampire,1,6,0,ATK flat,HP%,6
ATK%,20,"{""enchanted"":false,""gvalue"":0}",RES,7,"{""enchanted"":false,""gvalue"":0}",SPD,12,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.11,Vampire,1,6,9,ATK flat,,0
HP flat,298,"{""enchanted"":false,""gvalue"":0}",SPD,18,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,71.89,Vampire,1,6,9,ATK flat,,0
CRate,6,"{""enchanted"":false,""gvalue"":0}",HP flat,529,"{""enchanted"":false,""gvalue"":0}",DEF%,17,"{""enchanted"":false,""gvalue"":5}",HP%,26,"{""enchanted"":false,""gvalue"":6}",FALSE,86.29,Vampire,2,6,12,ATK%,,0
HP%,14,"{""enchanted"":false,""gvalue"":6}",ATK%,26,"{""enchanted"":false,""gvalue"":6}",ACC,14,"{""enchanted"":false,""gvalue"":0}",DEF%,15,"{""enchanted"":true,""gvalue"":6}",FALSE,97.32,Vampire,2,6,12,SPD,,0
ATK flat,13,"{""enchanted"":false,""gvalue"":0}",RES,12,"{""enchanted"":false,""gvalue"":0}",HP%,18,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",FALSE,70.77,Vampire,2,6,9,DEF%,,0
DEF%,18,"{""enchanted"":false,""gvalue"":6}",HP%,25,"{""enchanted"":false,""gvalue"":7}",ACC,13,"{""enchanted"":false,""gvalue"":0}",ATK%,18,"{""enchanted"":true,""gvalue"":5}",FALSE,103.93,Vampire,2,6,15,SPD,DEF flat,12
ACC,6,"{""enchanted"":false,""gvalue"":0}",ATK%,8,"{""enchanted"":false,""gvalue"":0}",CRate,6,"{""enchanted"":false,""gvalue"":0}",DEF flat,13,"{""enchanted"":false,""gvalue"":0}",FALSE,64.82,Vampire,2,6,0,DEF%,HP%,8
SPD,17,"{""enchanted"":false,""gvalue"":2}",CDmg,5,"{""enchanted"":false,""gvalue"":0}",HP%,19,"{""enchanted"":false,""gvalue"":6}",CRate,5,"{""enchanted"":true,""gvalue"":0}",FALSE,83.97,Vampire,3,6,12,DEF flat,,0
CRate,21,"{""enchanted"":false,""gvalue"":0}",CDmg,5,"{""enchanted"":false,""gvalue"":0}",DEF%,12,"{""enchanted"":false,""gvalue"":5}",,0,{},FALSE,82.78,Vampire,3,6,9,DEF flat,RES,7
SPD,4,"{""enchanted"":false,""gvalue"":0}",CRate,12,"{""enchanted"":false,""gvalue"":0}",RES,17,"{""enchanted"":false,""gvalue"":0}",DEF%,15,"{""enchanted"":false,""gvalue"":0}",FALSE,83.33,Vampire,3,6,12,DEF flat,,0
CDmg,14,"{""enchanted"":false,""gvalue"":0}",ACC,6,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",SPD,9,"{""enchanted"":false,""gvalue"":0}",FALSE,77.98,Vampire,3,6,12,DEF flat,,0
DEF%,14,"{""enchanted"":false,""gvalue"":6}",HP%,21,"{""enchanted"":false,""gvalue"":0}",HP flat,497,"{""enchanted"":false,""gvalue"":0}",SPD,14,"{""enchanted"":false,""gvalue"":3}",FALSE,88.36,Vampire,3,6,12,DEF flat,,0
HP%,36,"{""enchanted"":false,""gvalue"":6}",RES,8,"{""enchanted"":false,""gvalue"":0}",DEF%,15,"{""enchanted"":true,""gvalue"":7}",SPD,9,"{""enchanted"":false,""gvalue"":3}",FALSE,99.11,Vampire,3,6,12,DEF flat,,0
CDmg,11,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",DEF%,27,"{""enchanted"":false,""gvalue"":6}",HP flat,138,"{""enchanted"":false,""gvalue"":0}",FALSE,78.31,Vampire,3,6,12,DEF flat,,0
RES,15,"{""enchanted"":false,""gvalue"":0}",HP flat,160,"{""enchanted"":false,""gvalue"":0}",CDmg,7,"{""enchanted"":false,""gvalue"":0}",HP%,7,"{""enchanted"":false,""gvalue"":0}",FALSE,68.49,Vampire,3,6,6,DEF flat,DEF%,5
CDmg,17,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",ACC,7,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,70.92,Vampire,3,6,9,DEF flat,,0
CRate,10,"{""enchanted"":false,""gvalue"":0}",CDmg,13,"{""enchanted"":false,""gvalue"":0}",DEF%,16,"{""enchanted"":false,""gvalue"":0}",ACC,8,"{""enchanted"":false,""gvalue"":0}",FALSE,89.46,Vampire,3,6,12,DEF flat,HP%,8
DEF%,6,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",RES,5,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":false,""gvalue"":0}",FALSE,60.33,Vampire,3,6,0,DEF flat,SPD,5
ACC,5,"{""enchanted"":false,""gvalue"":0}",DEF%,12,"{""enchanted"":false,""gvalue"":0}",SPD,6,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,62.5,Vampire,4,6,3,ATK%,RES,5
CRate,15,"{""enchanted"":false,""gvalue"":0}",DEF%,16,"{""enchanted"":false,""gvalue"":0}",HP%,6,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,73.21,Vampire,4,6,9,CDmg,,0
CDmg,15,"{""enchanted"":false,""gvalue"":0}",CRate,11,"{""enchanted"":false,""gvalue"":0}",HP%,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.83,Vampire,5,6,9,HP flat,DEF%,7
ATK%,26,"{""enchanted"":false,""gvalue"":5}",HP%,11,"{""enchanted"":false,""gvalue"":4}",CDmg,18,"{""enchanted"":false,""gvalue"":0}",SPD,8,"{""enchanted"":false,""gvalue"":4}",FALSE,102,Vampire,5,6,12,HP flat,DEF%,6
SPD,15,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":false,""gvalue"":0}",ACC,13,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,69.94,Vampire,5,6,9,HP flat,,0
SPD,4,"{""enchanted"":false,""gvalue"":0}",CRate,20,"{""enchanted"":false,""gvalue"":0}",HP%,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,71.07,Vampire,5,6,9,HP flat,ATK flat,13
RES,4,"{""enchanted"":false,""gvalue"":0}",CRate,23,"{""enchanted"":false,""gvalue"":0}",SPD,4,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,71.43,Vampire,5,6,9,HP flat,,0
DEF%,10,"{""enchanted"":false,""gvalue"":4}",ATK%,12,"{""enchanted"":false,""gvalue"":7}",HP%,16,"{""enchanted"":false,""gvalue"":6}",ACC,24,"{""enchanted"":false,""gvalue"":0}",FALSE,95.83,Vampire,5,6,12,HP flat,CRate,4
ATK%,20,"{""enchanted"":false,""gvalue"":0}",DEF%,6,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",DEF flat,15,"{""enchanted"":false,""gvalue"":0}",FALSE,79.76,Vampire,5,6,12,HP flat,RES,7
HP%,19,"{""enchanted"":false,""gvalue"":0}",ATK flat,10,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,73.51,Vampire,5,6,9,HP flat,ATK%,8
ATK%,13,"{""enchanted"":false,""gvalue"":0}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,75.81,Vampire,5,6,9,HP flat,DEF%,6
DEF%,8,"{""enchanted"":false,""gvalue"":0}",RES,4,"{""enchanted"":false,""gvalue"":0}",HP%,6,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,53.93,Vampire,5,6,0,HP flat,ATK flat,12
ATK%,18,"{""enchanted"":false,""gvalue"":0}",ACC,8,"{""enchanted"":false,""gvalue"":0}",CDmg,5,"{""enchanted"":false,""gvalue"":0}",DEF flat,32,"{""enchanted"":false,""gvalue"":0}",FALSE,75.1,Vampire,6,6,9,HP%,DEF%,6
SPD,10,"{""enchanted"":false,""gvalue"":0}",CDmg,16,"{""enchanted"":false,""gvalue"":0}",HP flat,500,"{""enchanted"":false,""gvalue"":244}",CRate,5,"{""enchanted"":false,""gvalue"":0}",FALSE,79.12,Violent,1,6,12,ATK flat,ATK%,5
RES,21,"{""enchanted"":false,""gvalue"":0}",CRate,9,"{""enchanted"":false,""gvalue"":0}",HP%,12,"{""enchanted"":false,""gvalue"":0}",ATK%,8,"{""enchanted"":false,""gvalue"":0}",FALSE,83.04,Violent,1,6,12,ATK flat,,0
CRate,9,"{""enchanted"":false,""gvalue"":0}",SPD,16,"{""enchanted"":false,""gvalue"":0}",HP flat,208,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",FALSE,78.68,Violent,1,6,12,ATK flat,ATK%,8
ACC,11,"{""enchanted"":false,""gvalue"":0}",CDmg,9,"{""enchanted"":false,""gvalue"":0}",HP%,6,"{""enchanted"":false,""gvalue"":0}",ATK%,21,"{""enchanted"":false,""gvalue"":0}",FALSE,85.97,Violent,1,6,12,ATK flat,RES,8
HP flat,272,"{""enchanted"":false,""gvalue"":0}",SPD,11,"{""enchanted"":false,""gvalue"":0}",CDmg,19,"{""enchanted"":false,""gvalue"":0}",ATK%,12,"{""enchanted"":false,""gvalue"":0}",FALSE,81.5,Violent,1,6,12,ATK flat,,0
SPD,8,"{""enchanted"":false,""gvalue"":0}",HP%,8,"{""enchanted"":false,""gvalue"":0}",ATK%,19,"{""enchanted"":false,""gvalue"":0}",RES,6,"{""enchanted"":false,""gvalue"":0}",FALSE,80.82,Violent,1,6,12,ATK flat,CDmg,6
ATK%,35,"{""enchanted"":false,""gvalue"":5}",SPD,9,"{""enchanted"":false,""gvalue"":3}",CRate,4,"{""enchanted"":false,""gvalue"":0}",RES,5,"{""enchanted"":false,""gvalue"":0}",FALSE,86.9,Violent,1,6,12,ATK flat,,0
ATK%,7,"{""enchanted"":false,""gvalue"":0}",CRate,16,"{""enchanted"":false,""gvalue"":0}",HP%,20,"{""enchanted"":false,""gvalue"":6}",RES,8,"{""enchanted"":false,""gvalue"":0}",FALSE,92.13,Violent,1,6,12,ATK flat,CDmg,6
HP flat,639,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",CDmg,8,"{""enchanted"":false,""gvalue"":0}",ATK%,14,"{""enchanted"":false,""gvalue"":0}",FALSE,74.07,Violent,1,6,12,ATK flat,,0
SPD,17,"{""enchanted"":false,""gvalue"":0}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",RES,9,"{""enchanted"":false,""gvalue"":0}",HP flat,139,"{""enchanted"":false,""gvalue"":0}",FALSE,81,Violent,1,6,12,ATK flat,ATK%,5
ATK%,14,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":false,""gvalue"":0}",HP%,19,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,69.94,Violent,1,6,9,ATK flat,,0
CRate,4,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",CDmg,19,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,75.94,Violent,1,6,9,ATK flat,ACC,5
HP%,11,"{""enchanted"":false,""gvalue"":4}",CRate,13,"{""enchanted"":false,""gvalue"":0}",ATK%,17,"{""enchanted"":false,""gvalue"":5}",CDmg,5,"{""enchanted"":true,""gvalue"":0}",FALSE,88.44,Violent,1,6,15,ATK flat,SPD,6
ACC,7,"{""enchanted"":false,""gvalue"":0}",SPD,15,"{""enchanted"":false,""gvalue"":0}",HP flat,609,"{""enchanted"":false,""gvalue"":0}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",FALSE,80.24,Violent,2,6,12,ATK%,ATK flat,19
CRate,9,"{""enchanted"":false,""gvalue"":0}",SPD,9,"{""enchanted"":false,""gvalue"":0}",HP%,12,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,70.36,Violent,2,6,9,DEF%,DEF flat,14
DEF%,5,"{""enchanted"":false,""gvalue"":0}",ACC,20,"{""enchanted"":false,""gvalue"":0}",RES,24,"{""enchanted"":false,""gvalue"":0}",DEF flat,11,"{""enchanted"":false,""gvalue"":0}",FALSE,81.43,Violent,2,6,12,HP%,,0
SPD,11,"{""enchanted"":false,""gvalue"":3}",ACC,15,"{""enchanted"":false,""gvalue"":0}",ATK flat,11,"{""enchanted"":false,""gvalue"":0}",HP%,26,"{""enchanted"":false,""gvalue"":5}",FALSE,89.7,Violent,2,6,12,ATK%,DEF flat,13
ATK%,13,"{""enchanted"":false,""gvalue"":5}",ACC,5,"{""enchanted"":false,""gvalue"":0}",SPD,21,"{""enchanted"":false,""gvalue"":3}",HP%,13,"{""enchanted"":false,""gvalue"":0}",FALSE,94.35,Violent,2,6,15,DEF%,CRate,5
ACC,15,"{""enchanted"":false,""gvalue"":0}",HP flat,237,"{""enchanted"":false,""gvalue"":0}",DEF%,5,"{""enchanted"":false,""gvalue"":0}",CDmg,22,"{""enchanted"":false,""gvalue"":0}",FALSE,78.28,Violent,2,6,15,HP%,,0
CDmg,10,"{""enchanted"":false,""gvalue"":0}",SPD,11,"{""enchanted"":false,""gvalue"":0}",DEF%,15,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.1,Violent,2,6,9,HP%,HP flat,178
RES,8,"{""enchanted"":false,""gvalue"":0}",CRate,7,"{""enchanted"":true,""gvalue"":0}",ATK%,20,"{""enchanted"":false,""gvalue"":5}",DEF%,20,"{""enchanted"":false,""gvalue"":7}",FALSE,86.9,Violent,2,6,15,SPD,,0
SPD,10,"{""enchanted"":false,""gvalue"":0}",RES,13,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",FALSE,74.91,Violent,3,6,12,DEF flat,,0
ACC,8,"{""enchanted"":false,""gvalue"":0}",HP%,10,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",CDmg,15,"{""enchanted"":false,""gvalue"":0}",FALSE,79,Violent,3,6,12,DEF flat,,0
SPD,11,"{""enchanted"":false,""gvalue"":0}",DEF%,11,"{""enchanted"":false,""gvalue"":0}",CRate,12,"{""enchanted"":false,""gvalue"":0}",RES,4,"{""enchanted"":false,""gvalue"":0}",FALSE,76.49,Violent,3,6,12,DEF flat,,0
DEF%,17,"{""enchanted"":false,""gvalue"":3}",HP%,30,"{""enchanted"":false,""gvalue"":7}",RES,8,"{""enchanted"":false,""gvalue"":0}",SPD,8,"{""enchanted"":true,""gvalue"":2}",FALSE,94.35,Violent,3,6,15,DEF flat,,0
ACC,13,"{""enchanted"":false,""gvalue"":0}",RES,15,"{""enchanted"":false,""gvalue"":0}",SPD,6,"{""enchanted"":false,""gvalue"":0}",CRate,4,"{""enchanted"":false,""gvalue"":0}",FALSE,78.87,Violent,3,6,12,DEF flat,DEF%,7
CRate,9,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",HP%,13,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,76.19,Violent,3,6,9,DEF flat,DEF%,7
DEF%,14,"{""enchanted"":false,""gvalue"":0}",HP%,10,"{""enchanted"":false,""gvalue"":0}",CDmg,13,"{""enchanted"":false,""gvalue"":0}",HP flat,491,"{""enchanted"":false,""gvalue"":0}",FALSE,79.85,Violent,3,6,12,DEF flat,SPD,4
CRate,18,"{""enchanted"":false,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",RES,8,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,70.24,Violent,3,6,9,DEF flat,,0
SPD,6,"{""enchanted"":false,""gvalue"":0}",DEF%,13,"{""enchanted"":false,""gvalue"":0}",ACC,20,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,78.57,Violent,3,6,9,DEF flat,RES,7
SPD,10,"{""enchanted"":false,""gvalue"":0}",HP flat,374,"{""enchanted"":false,""gvalue"":0}",RES,20,"{""enchanted"":false,""gvalue"":0}",CDmg,7,"{""enchanted"":false,""gvalue"":0}",FALSE,80.65,Violent,3,6,12,DEF flat,HP%,5
HP flat,353,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",HP%,18,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.2,Violent,3,6,9,DEF flat,CDmg,7
ACC,23,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",CDmg,10,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,72.41,Violent,3,6,9,DEF flat,,0
RES,7,"{""enchanted"":false,""gvalue"":0}",ACC,4,"{""enchanted"":false,""gvalue"":0}",HP flat,551,"{""enchanted"":false,""gvalue"":0}",CRate,11,"{""enchanted"":false,""gvalue"":0}",FALSE,63.88,Violent,3,6,6,DEF flat,,0
HP%,14,"{""enchanted"":false,""gvalue"":0}",CRate,9,"{""enchanted"":false,""gvalue"":0}",DEF%,15,"{""enchanted"":false,""gvalue"":5}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",FALSE,76.4,Violent,3,6,12,DEF flat,,0
SPD,11,"{""enchanted"":false,""gvalue"":0}",HP flat,1007,"{""enchanted"":false,""gvalue"":391}",DEF%,11,"{""enchanted"":false,""gvalue"":0}",ACC,8,"{""enchanted"":true,""gvalue"":0}",FALSE,75.36,Violent,3,6,12,DEF flat,,0
SPD,18,"{""enchanted"":false,""gvalue"":3}",CRate,10,"{""enchanted"":false,""gvalue"":0}",CDmg,7,"{""enchanted"":false,""gvalue"":0}",RES,7,"{""enchanted"":false,""gvalue"":0}",FALSE,89.58,Violent,3,6,12,DEF flat,HP%,8
HP%,13,"{""enchanted"":false,""gvalue"":0}",RES,13,"{""enchanted"":false,""gvalue"":0}",ACC,21,"{""enchanted"":false,""gvalue"":0}",SPD,6,"{""enchanted"":true,""gvalue"":2}",FALSE,84.82,Violent,4,6,15,ATK%,,0
ACC,6,"{""enchanted"":false,""gvalue"":0}",ATK%,22,"{""enchanted"":false,""gvalue"":0}",DEF%,13,"{""enchanted"":false,""gvalue"":0}",ATK flat,18,"{""enchanted"":false,""gvalue"":0}",FALSE,75.54,Violent,4,6,12,HP%,,0
CRate,4,"{""enchanted"":false,""gvalue"":0}",RES,25,"{""enchanted"":false,""gvalue"":0}",ACC,5,"{""enchanted"":false,""gvalue"":0}",DEF flat,14,"{""enchanted"":false,""gvalue"":0}",FALSE,75.12,Violent,4,6,12,CDmg,ATK%,6
HP flat,541,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",DEF%,14,"{""enchanted"":false,""gvalue"":0}",FALSE,83.43,Violent,4,6,12,CDmg,HP%,7
CDmg,20,"{""enchanted"":false,""gvalue"":0}",ACC,8,"{""enchanted"":false,""gvalue"":0}",ATK%,7,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",FALSE,81.42,Violent,4,6,12,HP%,,0
HP%,5,"{""enchanted"":false,""gvalue"":0}",SPD,11,"{""enchanted"":false,""gvalue"":0}",CRate,16,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,75.89,Violent,4,6,9,DEF%,RES,4
SPD,14,"{""enchanted"":false,""gvalue"":0}",RES,14,"{""enchanted"":false,""gvalue"":0}",ATK flat,34,"{""enchanted"":false,""gvalue"":0}",ACC,7,"{""enchanted"":false,""gvalue"":0}",FALSE,77.2,Violent,4,6,12,CDmg,,0
SPD,3,"{""enchanted"":false,""gvalue"":0}",ATK%,10,"{""enchanted"":false,""gvalue"":0}",ACC,20,"{""enchanted"":false,""gvalue"":0}",DEF flat,13,"{""enchanted"":false,""gvalue"":0}",FALSE,61.59,Violent,4,5,15,HP%,,0
ATK flat,22,"{""enchanted"":false,""gvalue"":12}",SPD,11,"{""enchanted"":false,""gvalue"":2}",HP%,22,"{""enchanted"":false,""gvalue"":0}",CDmg,5,"{""enchanted"":false,""gvalue"":0}",FALSE,77.48,Violent,4,6,12,CRate,,0
CDmg,15,"{""enchanted"":false,""gvalue"":0}",CRate,5,"{""enchanted"":false,""gvalue"":0}",DEF%,18,"{""enchanted"":false,""gvalue"":0}",RES,4,"{""enchanted"":false,""gvalue"":0}",FALSE,76.62,Violent,5,6,12,HP flat,,0
ATK flat,20,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",CDmg,11,"{""enchanted"":false,""gvalue"":0}",RES,16,"{""enchanted"":false,""gvalue"":0}",FALSE,83.84,Violent,5,6,12,HP flat,SPD,6
CDmg,17,"{""enchanted"":false,""gvalue"":0}",ACC,12,"{""enchanted"":false,""gvalue"":0}",SPD,8,"{""enchanted"":false,""gvalue"":0}",DEF%,8,"{""enchanted"":false,""gvalue"":0}",FALSE,86.69,Violent,5,6,12,HP flat,HP%,7
CRate,6,"{""enchanted"":false,""gvalue"":0}",SPD,9,"{""enchanted"":false,""gvalue"":0}",CDmg,17,"{""enchanted"":false,""gvalue"":0}",DEF flat,13,"{""enchanted"":false,""gvalue"":0}",FALSE,80.38,Violent,5,6,12,HP flat,ACC,8
ATK flat,26,"{""enchanted"":false,""gvalue"":0}",SPD,10,"{""enchanted"":false,""gvalue"":0}",HP%,21,"{""enchanted"":false,""gvalue"":0}",CDmg,5,"{""enchanted"":false,""gvalue"":0}",FALSE,81.47,Violent,5,6,12,HP flat,RES,6
SPD,17,"{""enchanted"":false,""gvalue"":0}",HP%,8,"{""enchanted"":false,""gvalue"":0}",DEF flat,25,"{""enchanted"":false,""gvalue"":0}",CDmg,6,"{""enchanted"":false,""gvalue"":0}",FALSE,78.15,Violent,5,6,12,HP flat,ATK%,5
CDmg,5,"{""enchanted"":false,""gvalue"":0}",HP%,12,"{""enchanted"":false,""gvalue"":0}",ATK%,26,"{""enchanted"":false,""gvalue"":5}",SPD,4,"{""enchanted"":false,""gvalue"":0}",FALSE,85.76,Violent,5,6,12,HP flat,DEF%,7
ATK%,13,"{""enchanted"":false,""gvalue"":0}",CDmg,12,"{""enchanted"":false,""gvalue"":0}",DEF flat,31,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",FALSE,79.33,Violent,5,6,12,HP flat,ATK flat,13
DEF%,19,"{""enchanted"":false,""gvalue"":0}",ATK flat,31,"{""enchanted"":false,""gvalue"":0}",CDmg,7,"{""enchanted"":false,""gvalue"":0}",ATK%,13,"{""enchanted"":false,""gvalue"":0}",FALSE,79.11,Violent,5,6,12,HP flat,DEF flat,12
DEF%,13,"{""enchanted"":false,""gvalue"":0}",ATK%,14,"{""enchanted"":false,""gvalue"":0}",RES,8,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,71.43,Violent,5,6,9,HP flat,ACC,5
CRate,18,"{""enchanted"":false,""gvalue"":0}",CDmg,14,"{""enchanted"":false,""gvalue"":0}",ATK%,10,"{""enchanted"":true,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",FALSE,88.99,Violent,5,6,12,HP flat,DEF flat,15
DEF%,6,"{""enchanted"":false,""gvalue"":0}",CDmg,4,"{""enchanted"":false,""gvalue"":0}",RES,9,"{""enchanted"":false,""gvalue"":0}",CRate,10,"{""enchanted"":false,""gvalue"":0}",FALSE,70.45,Violent,5,6,6,HP flat,HP%,6
RES,11,"{""enchanted"":false,""gvalue"":0}",HP%,16,"{""enchanted"":false,""gvalue"":0}",SPD,5,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,72.92,Violent,5,6,9,HP flat,CRate,6
HP%,18,"{""enchanted"":false,""gvalue"":0}",RES,5,"{""enchanted"":false,""gvalue"":0}",SPD,11,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,71.67,Violent,5,6,9,HP flat,ATK flat,13
CRate,15,"{""enchanted"":false,""gvalue"":0}",SPD,14,"{""enchanted"":false,""gvalue"":3}",ATK%,13,"{""enchanted"":false,""gvalue"":5}",DEF flat,19,"{""enchanted"":false,""gvalue"":0}",FALSE,85.24,Violent,5,6,12,HP flat,,0
RES,22,"{""enchanted"":false,""gvalue"":0}",ACC,14,"{""enchanted"":false,""gvalue"":0}",ATK%,7,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,74.11,Violent,5,6,9,HP flat,,0
SPD,9,"{""enchanted"":false,""gvalue"":0}",RES,6,"{""enchanted"":false,""gvalue"":0}",ATK%,12,"{""enchanted"":false,""gvalue"":0}",,0,{},FALSE,62.5,Violent,5,6,6,HP flat,,0
