s1_t;s1_v;s1_data;s2_t;s2_v;s2_data;s3_t;s3_v;s3_data;s4_t;s4_v;s4_data;DT_RowId;id;unique_id;monster;originID;monster_n;originName;ancient;efficiency;set;slot;grade;level;m_t;m_v;i_t;i_v;locked;sub_res;sub_cdmg;sub_atkf;sub_acc;sub_atkp;sub_defp;sub_deff;sub_hpp;sub_hpf;sub_spd;sub_crate;quality;max_efficiency
"ATK%";13;{"enchanted":false,"gvalue":0};"CRate";16;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"";0;{};"row_213";213;36998362339;0;0;"Inventory";"Inventory";false;80.65;"Fatal";1;6;9;"ATK flat";94;"HP%";8;0;"-";7;"-";"-";13;"-";"-";"-";"-";"-";16;"Hero";87.8
"ACC";4;{"enchanted":false,"gvalue":0};"CRate";15;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":true,"gvalue":5};"row_214";214;36998457419;0;0;"Inventory";"Inventory";false;82.14;"Fatal";1;6;12;"ATK flat";118;"";0;0;"-";14;"-";4;12;"-";"-";"-";"-";"-";15;"Hero";82.14
"HP%";14;{"enchanted":false,"gvalue":0};"ATK%";20;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"";0;{};"row_215";215;37078504728;0;0;"Inventory";"Inventory";false;75.64;"Fatal";1;6;9;"ATK flat";94;"RES";5;0;"-";5;"-";"-";20;"-";"-";14;"-";"-";"-";"Hero";82.78
"CRate";10;{"enchanted":false,"gvalue":0};"ATK%";19;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"";0;{};"row_216";216;37407990113;0;0;"Inventory";"Inventory";false;71.73;"Fatal";1;6;9;"ATK flat";94;"";0;0;"-";"-";"-";"-";19;"-";"-";"-";"-";6;10;"Hero";78.87
"ATK%";13;{"enchanted":false,"gvalue":0};"RES";7;{"enchanted":false,"gvalue":0};"CDmg";18;{"enchanted":false,"gvalue":0};"";0;{};"row_217";217;37528527051;0;0;"Inventory";"Inventory";false;76.4;"Fatal";1;6;9;"ATK flat";94;"HP%";5;0;7;18;"-";"-";13;"-";"-";"-";"-";"-";"-";"Hero";83.55
"SPD";9;{"enchanted":false,"gvalue":0};"ACC";10;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"CRate";8;{"enchanted":false,"gvalue":0};"row_218";218;31201895737;0;0;"Inventory";"Inventory";false;69.86;"Fatal";3;5;12;"DEF flat";99;"DEF%";7;0;"-";4;"-";10;"-";"-";"-";"-";"-";9;8;"Legend";69.86
"DEF%";18;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"ACC";4;{"enchanted":false,"gvalue":0};"CRate";16;{"enchanted":false,"gvalue":0};"row_219";219;36564043718;0;0;"Inventory";"Inventory";false;85.12;"Fatal";3;6;12;"DEF flat";118;"RES";4;0;"-";"-";"-";4;"-";18;"-";"-";"-";6;16;"Legend";85.12
"CDmg";10;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"SPD";15;{"enchanted":false,"gvalue":0};"";0;{};"row_220";220;36661235382;0;0;"Inventory";"Inventory";false;75.09;"Fatal";3;6;9;"DEF flat";94;"RES";6;0;"-";10;"-";"-";"-";"-";"-";"-";"-";15;5;"Hero";82.23
"HP%";25;{"enchanted":false,"gvalue":7};"RES";14;{"enchanted":false,"gvalue":0};"CDmg";7;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":2};"row_221";221;37272389042;0;0;"Inventory";"Inventory";false;90.77;"Fatal";3;6;12;"DEF flat";118;"";0;0;14;7;"-";"-";"-";"-";"-";25;"-";11;"-";"Legend";90.77
"DEF%";24;{"enchanted":false,"gvalue":5};"HP%";16;{"enchanted":false,"gvalue":0};"CDmg";12;{"enchanted":false,"gvalue":0};"SPD";7;{"enchanted":false,"gvalue":2};"row_222";222;37302751871;0;0;"Inventory";"Inventory";false;92.01;"Fatal";3;6;12;"DEF flat";118;"";0;0;"-";12;"-";"-";"-";24;"-";16;"-";7;"-";"Legend";92.01
"CDmg";25;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"SPD";6;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"row_223";223;37561610838;0;0;"Inventory";"Inventory";false;77.89;"Fatal";3;6;12;"DEF flat";118;"";0;0;4;25;"-";"-";"-";"-";"-";"-";"-";6;5;"Hero";77.89
"CDmg";15;{"enchanted":false,"gvalue":0};"ACC";8;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"row_224";224;38013187013;0;0;"Inventory";"Inventory";false;78.4;"Fatal";3;6;12;"DEF flat";118;"";0;0;"-";15;"-";8;"-";"-";"-";"-";"-";5;12;"Hero";78.4
"ATK%";6;{"enchanted":false,"gvalue":0};"DEF%";16;{"enchanted":false,"gvalue":0};"ATK flat";33;{"enchanted":false,"gvalue":0};"CRate";14;{"enchanted":false,"gvalue":0};"row_225";225;30566559132;0;0;"Inventory";"Inventory";false;83.02;"Fatal";4;6;12;"HP%";47;"CDmg";5;0;"-";"-";33;"-";6;16;"-";"-";"-";"-";14;"Legend";83.02
"RES";12;{"enchanted":false,"gvalue":0};"CRate";11;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"ATK flat";15;{"enchanted":false,"gvalue":0};"row_226";226;32640657237;0;0;"Inventory";"Inventory";false;73.81;"Fatal";4;6;15;"CDmg";80;"SPD";6;0;12;"-";15;"-";5;"-";"-";"-";"-";"-";11;"Rare";73.81
"HP flat";607;{"enchanted":false,"gvalue":0};"CRate";15;{"enchanted":false,"gvalue":0};"ATK flat";13;{"enchanted":false,"gvalue":0};"ACC";9;{"enchanted":false,"gvalue":0};"row_227";227;36424374936;0;0;"Inventory";"Inventory";false;69.71;"Fatal";4;6;12;"CDmg";59;"";0;0;"-";"-";13;9;"-";"-";"-";"-";607;"-";15;"Legend";69.71
"SPD";10;{"enchanted":false,"gvalue":0};"ATK flat";18;{"enchanted":false,"gvalue":0};"CRate";16;{"enchanted":false,"gvalue":0};"";0;{};"row_228";228;36483794672;0;0;"Inventory";"Inventory";false;74.35;"Fatal";4;6;9;"CDmg";47;"ATK%";5;0;"-";"-";18;"-";"-";"-";"-";"-";"-";10;16;"Hero";81.49
"ACC";4;{"enchanted":false,"gvalue":0};"CRate";17;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"";0;{};"row_229";229;37703452072;0;0;"Inventory";"Inventory";false;71.43;"Fatal";4;6;9;"CDmg";47;"";0;0;"-";"-";"-";4;"-";"-";"-";"-";"-";10;17;"Hero";78.57
"ACC";11;{"enchanted":false,"gvalue":0};"DEF%";11;{"enchanted":false,"gvalue":0};"ATK flat";14;{"enchanted":false,"gvalue":0};"ATK%";13;{"enchanted":false,"gvalue":0};"row_230";230;38010257805;0;0;"Inventory";"Inventory";false;73.55;"Fatal";4;6;9;"HP%";38;"CDmg";4;0;"-";"-";14;11;13;11;"-";"-";"-";"-";"-";"Legend";80.69
"ATK%";25;{"enchanted":false,"gvalue":4};"CDmg";6;{"enchanted":true,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"ACC";12;{"enchanted":false,"gvalue":0};"row_231";231;30399704347;0;0;"Inventory";"Inventory";false;92.13;"Fatal";5;6;15;"HP flat";2448;"RES";6;0;"-";6;"-";12;25;"-";"-";"-";"-";10;"-";"Legend";92.13
"HP%";23;{"enchanted":false,"gvalue":5};"ATK%";18;{"enchanted":false,"gvalue":6};"SPD";9;{"enchanted":true,"gvalue":2};"DEF%";19;{"enchanted":false,"gvalue":5};"row_232";232;31061306175;0;0;"Inventory";"Inventory";false;106.25;"Fatal";5;6;12;"HP flat";1800;"RES";7;0;"-";"-";"-";"-";18;19;"-";23;"-";9;"-";"Legend";106.25
"CDmg";12;{"enchanted":false,"gvalue":0};"ACC";22;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"ATK%";10;{"enchanted":false,"gvalue":0};"row_233";233;31867533050;0;0;"Inventory";"Inventory";false;88.44;"Fatal";5;6;12;"HP flat";1800;"CRate";5;0;"-";12;"-";22;10;"-";"-";"-";"-";5;"-";"Legend";88.44
"CDmg";7;{"enchanted":false,"gvalue":0};"DEF%";14;{"enchanted":false,"gvalue":0};"RES";23;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"row_234";234;33408791062;0;0;"Inventory";"Inventory";false;86.9;"Fatal";5;6;12;"HP flat";1800;"ATK%";7;0;23;7;"-";"-";"-";14;"-";"-";"-";4;"-";"Legend";86.9
"ATK%";11;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"DEF%";5;{"enchanted":false,"gvalue":0};"";0;{};"row_235";235;34120389290;0;0;"Inventory";"Inventory";false;69.05;"Fatal";5;6;9;"HP flat";1440;"";0;0;"-";"-";"-";"-";11;5;"-";"-";"-";16;"-";"Hero";76.19
"DEF%";32;{"enchanted":false,"gvalue":5};"DEF flat";34;{"enchanted":false,"gvalue":14};"SPD";8;{"enchanted":false,"gvalue":2};"ACC";4;{"enchanted":true,"gvalue":0};"row_236";236;34143793154;0;0;"Inventory";"Inventory";false;83.45;"Fatal";5;6;15;"HP flat";2448;"";0;0;"-";"-";"-";4;"-";32;34;"-";"-";8;"-";"Hero";83.45
"SPD";19;{"enchanted":false,"gvalue":3};"HP%";17;{"enchanted":false,"gvalue":4};"ATK%";14;{"enchanted":false,"gvalue":7};"DEF%";14;{"enchanted":true,"gvalue":6};"row_237";237;37370750076;0;0;"Inventory";"Inventory";false;98.51;"Fatal";5;6;12;"HP flat";1800;"";0;0;"-";"-";"-";"-";14;14;"-";17;"-";19;"-";"Hero";98.51
"DEF%";11;{"enchanted":true,"gvalue":5};"CRate";5;{"enchanted":false,"gvalue":0};"ATK%";22;{"enchanted":false,"gvalue":5};"SPD";12;{"enchanted":false,"gvalue":3};"row_238";238;30494738531;0;0;"Inventory";"Inventory";false;82.66;"Fatal";5;5;12;"HP flat";1530;"ATK flat";14;0;"-";"-";"-";"-";22;11;"-";"-";"-";12;5;"Legend";82.66
"CDmg";18;{"enchanted":false,"gvalue":0};"SPD";11;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"";0;{};"row_239";239;36439806183;0;0;"Inventory";"Inventory";false;78.78;"Despair";1;6;9;"ATK flat";94;"HP%";8;0;"-";18;"-";"-";5;"-";"-";"-";"-";11;"-";"Hero";85.93
"SPD";9;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"";0;{};"row_240";240;36503286342;0;0;"Inventory";"Inventory";false;67.86;"Despair";1;6;6;"ATK flat";70;"";0;0;"-";14;"-";"-";"-";"-";"-";"-";"-";9;6;"Hero";82.14
"ATK%";18;{"enchanted":false,"gvalue":5};"ACC";13;{"enchanted":false,"gvalue":0};"HP%";11;{"enchanted":true,"gvalue":5};"SPD";17;{"enchanted":false,"gvalue":3};"row_241";241;36559300966;0;0;"Inventory";"Inventory";false;97.02;"Despair";1;6;12;"ATK flat";118;"RES";4;0;"-";"-";"-";13;18;"-";"-";11;"-";17;"-";"Legend";97.02
"ATK%";7;{"enchanted":false,"gvalue":0};"CDmg";17;{"enchanted":false,"gvalue":0};"CRate";9;{"enchanted":false,"gvalue":0};"";0;{};"row_242";242;36637300559;0;0;"Inventory";"Inventory";false;73.6;"Despair";1;6;9;"ATK flat";94;"RES";4;0;"-";17;"-";"-";7;"-";"-";"-";"-";"-";9;"Hero";80.74
"CRate";22;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"SPD";5;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"row_243";243;36923722351;0;0;"Inventory";"Inventory";false;75.51;"Despair";1;6;12;"ATK flat";118;"";0;0;4;4;"-";"-";"-";"-";"-";"-";"-";5;22;"Hero";75.51
"HP%";15;{"enchanted":false,"gvalue":4};"ATK%";24;{"enchanted":false,"gvalue":4};"SPD";5;{"enchanted":false,"gvalue":0};"CDmg";9;{"enchanted":false,"gvalue":0};"row_244";244;37876731532;0;0;"Inventory";"Inventory";false;85.67;"Despair";1;6;12;"ATK flat";118;"";0;0;"-";9;"-";"-";24;"-";"-";15;"-";5;"-";"Legend";85.67
"CDmg";12;{"enchanted":false,"gvalue":0};"SPD";21;{"enchanted":false,"gvalue":4};"HP%";11;{"enchanted":false,"gvalue":5};"CRate";4;{"enchanted":false,"gvalue":0};"row_245";245;36217299209;0;0;"Inventory";"Inventory";false;87.54;"Despair";1;6;15;"ATK flat";160;"";0;0;"-";12;"-";"-";"-";"-";"-";11;"-";21;4;"Hero";87.54
"DEF%";22;{"enchanted":false,"gvalue":7};"CDmg";23;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"row_246";246;32554086506;0;0;"Inventory";"Inventory";false;94.26;"Despair";3;6;12;"DEF flat";118;"HP flat";245;0;8;23;"-";"-";"-";22;"-";"-";"-";"-";5;"Legend";94.26
"CRate";9;{"enchanted":false,"gvalue":0};"ACC";6;{"enchanted":false,"gvalue":0};"CDmg";15;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"row_247";247;33085153444;0;0;"Inventory";"Inventory";false;79;"Despair";3;6;12;"DEF flat";118;"";0;0;"-";15;"-";6;"-";"-";"-";"-";"-";10;9;"Legend";79
"RES";5;{"enchanted":false,"gvalue":0};"CDmg";9;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"DEF%";21;{"enchanted":false,"gvalue":0};"row_248";248;35849204089;0;0;"Inventory";"Inventory";false;72.87;"Despair";3;6;9;"DEF flat";94;"";0;0;5;9;"-";"-";"-";21;"-";"-";"-";4;"-";"Legend";80.02
"SPD";10;{"enchanted":false,"gvalue":0};"HP%";20;{"enchanted":false,"gvalue":0};"ACC";5;{"enchanted":false,"gvalue":0};"";0;{};"row_249";249;36559573540;0;0;"Inventory";"Inventory";false;69.94;"Despair";3;6;9;"DEF flat";94;"";0;0;"-";"-";"-";5;"-";"-";"-";20;"-";10;"-";"Hero";77.08
"CRate";12;{"enchanted":false,"gvalue":0};"SPD";10;{"enchanted":false,"gvalue":0};"HP flat";375;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"row_250";250;36573349691;0;0;"Inventory";"Inventory";false;72.62;"Despair";3;6;9;"DEF flat";94;"";0;0;8;"-";"-";"-";"-";"-";"-";"-";375;10;12;"Legend";79.76
"DEF%";13;{"enchanted":false,"gvalue":0};"SPD";9;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"ACC";19;{"enchanted":false,"gvalue":0};"row_251";251;36641367026;0;0;"Inventory";"Inventory";false;83.93;"Despair";3;6;12;"DEF flat";118;"HP%";6;0;4;"-";"-";19;"-";13;"-";"-";"-";9;"-";"Legend";83.93
"CDmg";11;{"enchanted":false,"gvalue":0};"SPD";9;{"enchanted":false,"gvalue":0};"ACC";4;{"enchanted":false,"gvalue":0};"ATK%";18;{"enchanted":false,"gvalue":0};"row_252";252;33354575755;0;0;"Inventory";"Inventory";false;77.3;"Despair";4;6;15;"DEF%";63;"";0;0;"-";11;"-";4;18;"-";"-";"-";"-";9;"-";"Legend";77.3
"DEF%";29;{"enchanted":false,"gvalue":6};"CRate";7;{"enchanted":true,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":3};"ATK%";20;{"enchanted":false,"gvalue":7};"row_253";253;37309793935;0;0;"Inventory";"Inventory";false;107.44;"Despair";4;6;15;"HP%";63;"ACC";6;0;"-";"-";"-";"-";20;29;"-";"-";"-";12;7;"Legend";107.44
"DEF%";14;{"enchanted":false,"gvalue":0};"ACC";10;{"enchanted":false,"gvalue":0};"ATK flat";25;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":false,"gvalue":0};"row_254";254;30409204965;0;0;"Inventory";"Inventory";false;79.46;"Despair";5;6;12;"HP flat";1800;"SPD";6;0;"-";"-";25;10;12;14;"-";"-";"-";"-";"-";"Legend";79.46
"DEF flat";16;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"RES";20;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"row_255";255;31768081542;0;0;"Inventory";"Inventory";false;76.07;"Despair";5;6;12;"HP flat";1800;"";0;0;20;"-";"-";"-";6;"-";16;"-";"-";12;"-";"Legend";76.07
"CRate";15;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"HP flat";621;{"enchanted":false,"gvalue":0};"CDmg";14;{"enchanted":false,"gvalue":0};"row_256";256;38003573269;0;0;"Inventory";"Inventory";false;80.91;"Despair";6;6;12;"ATK%";47;"";0;0;8;14;"-";"-";"-";"-";"-";"-";621;"-";15;"Legend";80.91
"RES";12;{"enchanted":false,"gvalue":0};"HP flat";763;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"row_257";257;34836936946;0;0;"Inventory";"Inventory";false;71.72;"Vampire";1;6;12;"ATK flat";118;"";0;0;12;6;"-";"-";"-";"-";"-";"-";763;"-";10;"Legend";71.72
"SPD";6;{"enchanted":false,"gvalue":0};"CRate";17;{"enchanted":false,"gvalue":0};"CDmg";10;{"enchanted":false,"gvalue":0};"";0;{};"row_258";258;35339197957;0;0;"Inventory";"Inventory";false;73.3;"Vampire";1;6;9;"ATK flat";94;"";0;0;"-";10;"-";"-";"-";"-";"-";"-";"-";6;17;"Hero";80.44
"HP%";27;{"enchanted":false,"gvalue":5};"ATK%";20;{"enchanted":false,"gvalue":5};"SPD";10;{"enchanted":false,"gvalue":4};"ACC";9;{"enchanted":true,"gvalue":0};"row_259";259;35443522895;0;0;"Inventory";"Inventory";false;104.76;"Vampire";1;6;12;"ATK flat";118;"CRate";6;0;"-";"-";"-";9;20;"-";"-";27;"-";10;"-";"Hero";104.76
"ACC";6;{"enchanted":false,"gvalue":0};"SPD";16;{"enchanted":false,"gvalue":0};"CDmg";12;{"enchanted":false,"gvalue":0};"";0;{};"row_260";260;35980035420;0;0;"Inventory";"Inventory";false;72.36;"Vampire";1;6;9;"ATK flat";94;"";0;0;"-";12;"-";6;"-";"-";"-";"-";"-";16;"-";"Hero";79.51
"CRate";8;{"enchanted":false,"gvalue":0};"HP%";22;{"enchanted":false,"gvalue":0};"ATK%";6;{"enchanted":false,"gvalue":0};"ACC";6;{"enchanted":false,"gvalue":0};"row_261";261;38228023933;0;0;"Inventory";"Inventory";false;75.6;"Vampire";1;6;12;"ATK flat";118;"";0;0;"-";"-";"-";6;6;"-";"-";22;"-";"-";8;"Hero";75.6
"RES";15;{"enchanted":false,"gvalue":0};"SPD";21;{"enchanted":false,"gvalue":3};"HP%";12;{"enchanted":false,"gvalue":5};"";0;{};"row_262";262;38289693572;0;0;"Inventory";"Inventory";false;84.82;"Vampire";1;6;9;"ATK flat";94;"";0;0;15;"-";"-";"-";"-";"-";"-";12;"-";21;"-";"Hero";91.96
"SPD";6;{"enchanted":false,"gvalue":0};"CRate";20;{"enchanted":false,"gvalue":0};"RES";8;{"enchanted":false,"gvalue":0};"";0;{};"row_263";263;38579223407;0;0;"Inventory";"Inventory";false;73.81;"Vampire";1;6;9;"ATK flat";94;"";0;0;8;"-";"-";"-";"-";"-";"-";"-";"-";6;20;"Hero";80.95
"SPD";17;{"enchanted":false,"gvalue":0};"CDmg";6;{"enchanted":false,"gvalue":0};"RES";14;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"row_264";264;38595823955;0;0;"Inventory";"Inventory";false;81.72;"Vampire";1;6;12;"ATK flat";118;"";0;0;14;6;"-";"-";"-";"-";"-";"-";"-";17;6;"Hero";81.72
"SPD";17;{"enchanted":false,"gvalue":0};"HP%";5;{"enchanted":false,"gvalue":0};"ATK%";12;{"enchanted":false,"gvalue":0};"CRate";4;{"enchanted":false,"gvalue":0};"row_265";265;38607806937;0;0;"Inventory";"Inventory";false;77.73;"Vampire";1;6;12;"ATK flat";118;"HP flat";193;0;"-";"-";"-";"-";12;"-";"-";5;"-";17;4;"Hero";77.73
"ACC";7;{"enchanted":false,"gvalue":0};"CDmg";4;{"enchanted":false,"gvalue":0};"RES";6;{"enchanted":false,"gvalue":0};"";0;{};"row_266";266;38639326485;0;0;"Inventory";"Inventory";false;56.76;"Vampire";1;6;0;"ATK flat";22;"HP%";6;0;6;4;"-";7;"-";"-";"-";"-";"-";"-";"-";"Hero";85.33
"ATK%";20;{"enchanted":false,"gvalue":0};"RES";7;{"enchanted":false,"gvalue":0};"SPD";12;{"enchanted":false,"gvalue":0};"";0;{};"row_267";267;38644612903;0;0;"Inventory";"Inventory";false;74.11;"Vampire";1;6;9;"ATK flat";94;"";0;0;7;"-";"-";"-";20;"-";"-";"-";"-";12;"-";"Hero";81.25
"HP flat";298;{"enchanted":false,"gvalue":0};"SPD";18;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"";0;{};"row_268";268;38646990728;0;0;"Inventory";"Inventory";false;71.89;"Vampire";1;6;9;"ATK flat";94;"";0;0;"-";"-";"-";"-";"-";"-";"-";"-";298;18;10;"Hero";79.03
"SPD";12;{"enchanted":false,"gvalue":0};"HP%";7;{"enchanted":false,"gvalue":0};"RES";19;{"enchanted":false,"gvalue":0};"";0;{};"row_269";269;38653519589;0;0;"Inventory";"Inventory";false;73.21;"Vampire";1;6;9;"ATK flat";94;"";0;0;19;"-";"-";"-";"-";"-";"-";7;"-";12;"-";"Hero";80.36
"ATK%";20;{"enchanted":false,"gvalue":0};"SPD";8;{"enchanted":false,"gvalue":0};"ACC";7;{"enchanted":false,"gvalue":0};"";0;{};"row_270";270;38693802992;0;0;"Inventory";"Inventory";false;76.49;"Vampire";1;6;9;"ATK flat";94;"CRate";6;0;"-";"-";"-";7;20;"-";"-";"-";"-";8;"-";"Hero";83.63
"RES";4;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"ATK%";5;{"enchanted":false,"gvalue":0};"";0;{};"row_271";271;38702688810;0;0;"Inventory";"Inventory";false;50.89;"Vampire";1;6;0;"ATK flat";22;"";0;0;4;"-";"-";"-";5;"-";"-";"-";"-";"-";6;"Hero";79.46
"CRate";5;{"enchanted":false,"gvalue":0};"RES";4;{"enchanted":false,"gvalue":0};"";0;{};"";0;{};"row_272";272;38719104939;0;0;"Inventory";"Inventory";false;45.24;"Vampire";1;6;0;"ATK flat";22;"";0;0;4;"-";"-";"-";"-";"-";"-";"-";"-";"-";5;"Rare";73.81
"ACC";27;{"enchanted":false,"gvalue":0};"SPD";4;{"enchanted":false,"gvalue":0};"HP flat";274;{"enchanted":false,"gvalue":0};"";0;{};"row_273";273;38729835804;0;0;"Inventory";"Inventory";false;70.76;"Vampire";1;6;9;"ATK flat";94;"RES";4;0;"-";"-";"-";27;"-";"-";"-";"-";274;4;"-";"Hero";77.91
"CRate";6;{"enchanted":false,"gvalue":0};"HP flat";529;{"enchanted":false,"gvalue":0};"DEF%";17;{"enchanted":false,"gvalue":5};"HP%";26;{"enchanted":false,"gvalue":6};"row_274";274;36013651256;0;0;"Inventory";"Inventory";false;86.29;"Vampire";2;6;12;"ATK%";47;"";0;0;"-";"-";"-";"-";"-";17;"-";26;529;"-";6;"Legend";86.29
"HP%";14;{"enchanted":false,"gvalue":6};"ATK%";26;{"enchanted":false,"gvalue":6};"ACC";14;{"enchanted":false,"gvalue":0};"DEF%";15;{"enchanted":true,"gvalue":6};"row_275";275;38507333064;0;0;"Inventory";"Inventory";false;97.32;"Vampire";2;6;12;"SPD";31;"";0;0;"-";"-";"-";14;26;15;"-";14;"-";"-";"-";"Hero";97.32
"ATK flat";13;{"enchanted":false,"gvalue":0};"RES";12;{"enchanted":false,"gvalue":0};"HP%";18;{"enchanted":false,"gvalue":0};"CRate";5;{"enchanted":false,"gvalue":0};"row_276";276;38564094309;0;0;"Inventory";"Inventory";false;70.77;"Vampire";2;6;9;"DEF%";38;"";0;0;12;"-";13;"-";"-";"-";"-";18;"-";"-";5;"Legend";77.92
"DEF%";18;{"enchanted":false,"gvalue":6};"HP%";25;{"enchanted":false,"gvalue":7};"ACC";13;{"enchanted":false,"gvalue":0};"ATK%";18;{"enchanted":true,"gvalue":5};"row_277";277;33329169894;0;0;"Inventory";"Inventory";false;103.93;"Vampire";2;6;15;"SPD";42;"DEF flat";12;0;"-";"-";"-";13;18;18;"-";25;"-";"-";"-";"Legend";103.93
"ACC";12;{"enchanted":false,"gvalue":0};"ATK%";26;{"enchanted":false,"gvalue":0};"CRate";6;{"enchanted":false,"gvalue":0};"DEF flat";13;{"enchanted":false,"gvalue":0};"row_278";278;38634140683;0;0;"Inventory";"Inventory";false;86.25;"Vampire";2;6;12;"DEF%";47;"HP%";8;0;"-";"-";"-";12;26;"-";13;"-";"-";"-";6;"Legend";86.25
"SPD";4;{"enchanted":false,"gvalue":0};"HP flat";200;{"enchanted":false,"gvalue":0};"RES";5;{"enchanted":false,"gvalue":0};"";0;{};"row_279";279;38726074871;0;0;"Inventory";"Inventory";false;46.85;"Vampire";2;6;0;"ATK flat";22;"";0;0;5;"-";"-";"-";"-";"-";"-";"-";200;4;"-";"Hero";75.42
"DEF%";21;{"enchanted":false,"gvalue":0};"CRate";13;{"enchanted":false,"gvalue":0};"DEF flat";15;{"enchanted":false,"gvalue":0};"HP flat";175;{"enchanted":false,"gvalue":0};"row_280";280;38793419246;0;0;"Inventory";"Inventory";false;76.61;"Vampire";2;6;12;"HP%";47;"ATK flat";13;0;"-";"-";"-";"-";"-";21;15;"-";175;"-";13;"Legend";76.61
"SPD";17;{"enchanted":false,"gvalue":2};"CDmg";5;{"enchanted":false,"gvalue":0};"HP%";19;{"enchanted":false,"gvalue":6};"CRate";5;{"enchanted":true,"gvalue":0};"row_281";281;33432306536;0;0;"Inventory";"Inventory";false;83.97;"Vampire";3;6;12;"DEF flat";118;"";0;0;"-";5;"-";"-";"-";"-";"-";19;"-";17;5;"Hero";83.97
"CRate";21;{"enchanted":false,"gvalue":0};"CDmg";5;{"enchanted":false,"gvalue":0};"DEF%";12;{"enchanted":false,"gvalue":5};"";0;{};"row_282";282;35094820212;0;0;"Inventory";"Inventory";false;82.78;"Vampire";3;6;9;"DEF flat";94;"RES";7;0;"-";5;"-";"-";"-";12;"-";"-";"-";"-";21;"Hero";89.92
"SPD";4;{"enchanted":false,"gvalue":0};"CRate";12;{"enchanted":false,"gvalue":0};"RES";17;{"enchanted":false,"gvalue":0};"DEF%";15;{"enchanted":false,"gvalue":0};"row_283";283;35339145709;0;0;"Inventory";"Inventory";false;83.33;"Vampire";3;6;12;"DEF flat";118;"";0;0;17;"-";"-";"-";"-";15;"-";"-";"-";4;12;"Legend";83.33
"CDmg";14;{"enchanted":false,"gvalue":0};"ACC";6;{"enchanted":false,"gvalue":0};"CRate";10;{"enchanted":false,"gvalue":0};"SPD";9;{"enchanted":false,"gvalue":0};"row_284";284;35643866439;0;0;"Inventory";"Inventory";false;77.98;"Vampire";3;6;12;"DEF flat";118;"";0;0;"-";14;"-";6;"-";"-";"-";"-";"-";9;10;"Legend";77.98
